payment_id,policy_id,payment_date,amount_usd,payment_method,status,is_late,late_fee_usd
PAY00001,POL01701,2023-02-27,2307.58,Direct Debit,OVERDUE,False,0.0
PAY00002,POL01426,2020-08-19,815.17,Cash,OVERDUE,False,0.0
PAY00003,POL00728,2019-10-14,1303.79,Cheque,PENDING,False,0.0
PAY00004,POL00543,2020-03-22,1850.91,Bank Transfer,PAID,False,0.0
PAY00005,POL02276,2024-06-15,4812.72,Cheque,PAID,False,50.26
PAY00006,POL02501,2021-03-27,0.0,Credit Card,PENDING,False,83.11
PAY00007,POL02727,2020-12-09,1363.87,Bank Transfer,SUCCESS,False,0.0
PAY00008,POL00692,2021-04-27,0.0,Cheque,PAID,False,0.0
PAY00009,POL02216,2021-04-09,3630.31,Cash,SUCCESS,False,0.0
PAY00010,POL01188,2022-12-30,1780.66,Direct Debit,FAILED,False,0.0
PAY00011,POL01350,2019-08-31,3232.32,Direct Debit,SUCCESS,False,37.95
PAY00012,POL00433,2019-08-06,1050.77,Cheque,PAID,False,0.0
PAY00013,POL02851,2023-07-14,133.07,Cash,SUCCESS,False,47.88
PAY00014,POL02486,2020-12-21,3789.36,Credit Card,PAID,False,40.38
PAY00015,POL02403,2021-08-10,2689.32,Bank Transfer,OVERDUE,True,13.05
PAY00016,POL00295,2021-12-21,1435.74,Credit Card,FAILED,False,0.0
PAY00017,POL02916,2022-10-22,1564.24,Bank Transfer,SUCCESS,False,0.0
PAY00018,POL00113,2022-04-18,1721.64,Cash,PAID,False,0.0
PAY00019,POL02953,2022-05-11,111.0,Bank Transfer,OVERDUE,False,0.0
PAY00020,POL02161,2021-11-21,4848.94,Cash,OVERDUE,False,0.0
PAY00021,POL00958,2022-03-03,3052.94,Bank Transfer,PAID,True,0.0
PAY00022,POL00281,2020-08-19,0.0,Bank Transfer,PAID,False,56.13
PAY00023,POL02377,2022-01-15,3169.3,Credit Card,PAID,False,0.0
PAY00024,POL00142,2019-01-17,1175.27,Direct Debit,FAILED,False,0.0
PAY00025,POL01135,2020-03-15,4621.85,Cash,SUCCESS,True,0.0
PAY00026,POL00070,2022-08-11,2298.63,Credit Card,SUCCESS,False,0.0
PAY00027,POL00379,2021-05-26,1688.58,Bank Transfer,FAILED,False,0.0
PAY00028,POL02367,2022-01-10,3715.53,Bank Transfer,FAILED,False,0.0
PAY00029,POL01474,2019-07-20,3885.3,Cash,OVERDUE,False,0.0
PAY00030,POL00715,2022-12-14,0.0,Cash,FAILED,False,0.0
PAY00031,POL00641,2020-10-30,590.4,Direct Debit,OVERDUE,False,0.0
PAY00032,POL02391,2023-09-21,2023.08,Bank Transfer,OVERDUE,False,0.0
PAY00033,POL01890,2019-07-13,0.0,Cash,SUCCESS,False,0.0
PAY00034,POL02817,2021-10-01,3327.8,Bank Transfer,FAILED,False,0.0
PAY00035,POL02513,2022-10-25,1710.26,Direct Debit,PAID,False,0.0
PAY00036,POL02183,2019-12-17,743.46,Cash,OVERDUE,False,0.0
PAY00037,POL01759,2021-03-02,1972.8,Direct Debit,PAID,False,86.49
PAY00038,POL02649,2021-07-09,1304.69,Bank Transfer,FAILED,False,82.52
PAY00039,POL00802,2019-05-21,4753.17,Direct Debit,PAID,True,0.0
PAY00040,POL01942,2019-04-10,3891.11,Credit Card,PAID,True,0.0
PAY00041,POL00727,2024-12-22,0.0,Cheque,OVERDUE,False,0.0
PAY00042,POL02528,2023-12-15,1634.86,Credit Card,PAID,False,0.0
PAY00043,POL01284,2022-04-27,3006.26,Bank Transfer,FAILED,False,0.0
PAY00044,POL01364,2019-06-13,2920.2,Cheque,OVERDUE,False,0.0
PAY00045,POL01923,2023-06-12,0.0,Credit Card,OVERDUE,False,0.0
PAY00046,POL00763,2023-08-06,2443.67,Cash,PAID,False,49.84
PAY00047,POL01179,2023-03-25,2565.6,Cash,PAID,False,0.0
PAY00048,POL01252,2019-03-20,0.0,Bank Transfer,OVERDUE,False,0.0
PAY00049,POL02149,2023-05-16,0.0,Direct Debit,PAID,False,0.0
PAY00050,POL02187,2022-08-15,1804.13,Bank Transfer,PAID,False,0.0
PAY00051,POL02096,2022-06-08,3093.87,Bank Transfer,SUCCESS,True,0.0
PAY00052,POL00818,2024-03-04,0.0,Cash,PAID,False,0.0
PAY00053,POL00351,2023-03-11,0.0,Direct Debit,PAID,False,0.0
PAY00054,POL02136,2024-01-05,721.04,Bank Transfer,SUCCESS,False,0.0
PAY00055,POL02045,2022-07-17,3022.65,Cheque,FAILED,False,0.0
PAY00056,POL01532,2024-01-09,1952.95,Credit Card,OVERDUE,False,0.0
PAY00057,POL01167,2021-06-24,3422.26,Bank Transfer,SUCCESS,False,0.0
PAY00058,POL00057,2019-09-07,1471.66,Cash,PAID,False,0.0
PAY00059,POL00132,2021-06-14,3718.0,Credit Card,OVERDUE,False,0.0
PAY00060,POL01748,2022-05-29,2079.84,Direct Debit,PAID,False,0.0
PAY00061,POL02497,2021-06-12,3087.22,Cheque,FAILED,True,91.12
PAY00062,POL02131,2024-03-29,2655.11,Bank Transfer,PAID,False,0.0
PAY00063,POL02385,2021-08-14,0.0,Bank Transfer,SUCCESS,False,0.0
PAY00064,POL02037,2023-07-10,854.62,Direct Debit,OVERDUE,False,0.0
PAY00065,POL02356,2020-07-20,4901.59,Cash,FAILED,False,0.0
PAY00066,POL01227,2023-12-31,2021.98,Credit Card,FAILED,False,0.0
PAY00067,POL02829,2019-05-13,0.0,Direct Debit,FAILED,False,57.52
PAY00068,POL00540,2020-08-16,423.97,Bank Transfer,PENDING,True,71.55
PAY00069,POL02792,2023-04-02,0.0,Cheque,SUCCESS,False,0.0
PAY00070,POL01066,2021-01-10,3293.86,Direct Debit,SUCCESS,False,0.0
PAY00071,POL02985,2020-10-18,3681.46,Cheque,PAID,False,0.0
PAY00072,POL02452,2022-08-09,0.0,Direct Debit,SUCCESS,False,0.0
PAY00073,POL01120,2022-10-20,3152.21,Bank Transfer,PAID,False,0.0
PAY00074,POL02093,2019-09-12,2507.03,Direct Debit,SUCCESS,False,0.0
PAY00075,POL01459,2021-01-29,1859.83,Direct Debit,PAID,True,0.0
PAY00076,POL01353,2020-03-22,1736.18,Bank Transfer,OVERDUE,True,0.0
PAY00077,POL00262,2023-07-09,1310.92,Bank Transfer,SUCCESS,False,95.89
PAY00078,POL01845,2019-05-12,2914.56,Direct Debit,PENDING,False,0.0
PAY00079,POL00607,2023-04-07,1150.97,Cheque,SUCCESS,False,0.0
PAY00080,POL01305,2019-12-05,4349.51,Bank Transfer,PAID,False,92.25
PAY00081,POL02309,2022-06-09,2633.27,Cash,OVERDUE,False,0.0
PAY00082,POL02314,2024-03-16,4013.74,Cheque,SUCCESS,True,0.0
PAY00083,POL00602,2021-11-08,3935.98,Bank Transfer,PAID,False,0.0
PAY00084,POL01719,,1147.01,Direct Debit,SUCCESS,False,0.0
