policy_id,policyholder_id,vehicle_id,coverage_type,start_date,end_date,premium_usd,deductible_usd,is_active,agent_id,coverage_amount_usd
POL00001,PH00001,VH00001,Comprehensive,2021-01-25,2022-01-25,0.0,1811.01,True,AGT004,216421.37
POL00002,PH00002,VH00002,Collision,2020-03-30,2021-03-30,4528.99,0.0,False,AGT029,49587.73
POL00003,PH00003,VH00003,Third Party,2022-09-30,2023-09-30,4558.01,1744.36,True,AGT039,343868.35
POL00004,PH00004,VH00004,Third Party,2022-03-11,2023-03-11,1270.91,1513.08,False,AGT017,181156.77
POL00005,PH00005,VH00005,Third Party,2019-12-25,2020-12-24,2730.83,707.28,False,AGT044,99863.46
POL00006,PH00006,VH00006,Third Party,2020-04-24,2021-04-24,2382.46,1708.91,False,AGT008,171781.08
POL00007,PH00007,VH00007,Comprehensive,2024-11-22,2025-11-22,2650.52,0.0,False,AGT039,436112.66
POL00008,PH00008,VH00008,Comprehensive,2020-04-26,2021-04-26,851.62,0.0,False,AGT020,20104.85
POL00009,PH00009,VH00009,Comprehensive,2020-11-29,2021-11-29,0.0,1443.6,True,AGT010,341836.73
POL00010,PH00010,VH00010,Comprehensive,2021-06-17,2022-06-17,3358.49,1845.31,False,AGT041,306964.99
POL00011,PH00011,VH00011,Third Party,2023-12-18,2024-12-17,1122.43,0.0,True,AGT045,87930.05
POL00012,PH00012,VH00012,Comprehensive,2019-12-24,2020-12-23,0.0,1626.95,False,AGT045,478962.89
POL00013,PH00013,VH00013,Collision,2024-02-21,2025-02-20,0.0,323.8,True,AGT021,82852.55
POL00014,PH00014,VH00014,Third Party Fire & Theft,2023-07-20,2024-07-19,3626.66,1334.43,False,AGT009,47049.1
POL00015,PH00015,VH00015,Collision,2021-08-08,2022-08-08,0.0,296.4,False,AGT022,218401.0
POL00016,PH00016,VH00016,Third Party Fire & Theft,2019-03-02,2020-03-01,0.0,1049.56,False,AGT046,229766.78
POL00017,PH00017,VH00017,Comprehensive,2019-12-13,2020-12-12,3841.25,1030.83,False,AGT021,419478.63
POL00018,PH00018,VH00018,Third Party,2020-09-12,2021-09-12,3598.64,750.62,False,AGT041,485981.62
POL00019,PH00019,VH00019,Collision,2021-05-29,2022-05-29,0.0,1985.24,False,AGT010,221028.09
POL00020,PH00020,VH00020,Collision,2020-10-03,2020-10-01,3594.11,552.08,False,AGT041,450571.94
POL00021,PH00021,VH00021,Collision,2020-03-21,2021-03-21,0.0,0.0,False,AGT019,131856.06
POL00022,PH00022,VH00022,Comprehensive,2019-04-12,2020-04-11,0.0,1673.1,False,AGT005,254255.33
POL00023,PH00023,VH00023,Third Party,2021-10-08,2022-10-08,2586.06,1011.19,True,AGT042,70851.36
POL00024,PH00024,VH00024,Collision,2024-10-30,2025-10-30,2003.16,1396.11,False,AGT027,290675.77
POL00025,PH00025,VH00025,Collision,2024-12-23,2025-12-23,3398.86,1961.87,False,AGT020,158544.02
POL00026,PH00026,VH00026,Comprehensive,2021-03-22,2022-03-22,0.0,1239.09,True,AGT018,392206.43
POL00027,PH00027,VH00027,Third Party Fire & Theft,2020-08-28,2021-08-28,4776.01,1296.54,False,AGT022,163550.74
POL00028,PH00028,VH00028,Third Party,2021-01-11,2022-01-11,3814.21,1321.36,True,AGT001,406272.8
POL00029,PH00029,VH00029,Third Party,2019-05-18,2020-05-17,549.06,773.33,False,AGT045,296651.55
POL00030,PH00030,VH00030,Third Party,2023-12-01,2024-11-30,0.0,1005.21,True,AGT029,82566.27
POL00031,PH00031,VH00031,Comprehensive,2022-08-04,2023-08-04,886.29,1390.53,False,AGT012,60168.73
POL00032,PH00032,VH00032,Collision,2022-01-28,2023-01-28,558.46,1262.79,False,AGT039,341933.74
POL00033,PH00033,VH00033,Third Party,2022-10-13,2023-10-13,3845.92,1844.41,False,AGT003,88764.99
POL00034,PH00034,VH00034,Collision,2019-01-07,2020-01-07,4870.89,460.12,False,AGT049,313808.34
POL00035,PH00035,VH00035,Collision,2023-02-16,2024-02-16,3580.74,1382.77,False,AGT030,460778.67
POL00036,PH00036,VH00036,Collision,2019-06-15,2019-05-25,3097.88,672.04,True,AGT006,424954.17
POL00037,PH00037,VH00037,Third Party,2021-01-15,2022-01-15,3716.7,0.0,False,AGT041,311534.47
POL00038,PH00038,VH00038,Third Party,2021-04-14,2022-04-14,2410.11,1188.06,True,AGT003,154279.2
POL00039,PH00039,VH00039,Third Party Fire & Theft,2023-12-28,2024-12-27,3913.92,1853.81,False,AGT022,21722.01
POL00040,PH00040,VH00040,Third Party,2024-10-22,2025-10-22,4944.4,1473.01,False,AGT004,27579.56
POL00041,PH00041,VH00041,Collision,2023-07-30,2024-07-29,4038.36,1527.67,False,AGT040,188086.68
POL00042,PH00042,VH00042,Collision,2019-08-11,2020-08-10,3918.82,269.69,False,AGT025,221968.63
POL00043,PH00043,VH00043,Collision,2022-12-28,2023-12-28,0.0,0.0,False,AGT047,253888.98
POL00044,PH00044,VH00044,Third Party Fire & Theft,2020-01-18,2021-01-17,0.0,1294.71,True,AGT040,331626.19
POL00045,PH00045,VH00045,Comprehensive,2020-09-07,2021-09-07,744.14,228.33,False,AGT045,110611.85
POL00046,PH00046,VH00046,Third Party Fire & Theft,2021-09-14,2022-09-14,0.0,656.39,False,AGT005,279599.52
POL00047,PH00047,VH00047,Collision,2020-07-23,2021-07-23,4867.74,1822.75,True,AGT009,242161.71
POL00048,PH00048,VH00048,Collision,2019-12-05,2020-12-04,3581.48,564.66,False,AGT032,225626.68
POL00049,PH00049,VH00049,Comprehensive,2022-03-02,2023-03-02,4366.51,1048.87,False,AGT032,372201.43
POL00050,PH00050,VH00050,Comprehensive,2020-08-14,2021-08-14,0.0,1706.22,False,AGT032,105138.0
POL00051,PH00051,VH00051,Comprehensive,2021-01-09,2022-01-09,3214.61,682.72,False,AGT038,307362.5
POL00052,PH00052,VH00052,Third Party,2023-01-23,2024-01-23,0.0,1846.83,False,AGT009,439728.17
POL00053,PH00053,VH00053,Third Party Fire & Theft,2023-02-23,2024-02-23,2806.6,1948.56,True,AGT001,284464.41
POL00054,PH00054,VH00054,Comprehensive,2021-09-09,2022-09-09,3494.29,218.94,True,AGT008,143260.01
POL00055,PH00055,VH00055,Comprehensive,2024-08-08,2025-08-08,4873.71,0.0,False,AGT018,237240.05
POL00056,PH00056,VH00056,Comprehensive,2024-10-12,2025-10-12,0.0,896.22,False,AGT004,489473.71
POL00057,PH00057,VH00057,Third Party Fire & Theft,2020-11-12,2021-11-12,4999.32,384.28,False,AGT016,488213.72
POL00058,PH00058,VH00058,Comprehensive,2023-05-11,2024-05-10,2991.21,1114.59,False,AGT015,24748.29
POL00059,PH00059,VH00059,Comprehensive,2021-03-12,2022-03-12,0.0,680.87,True,AGT048,24398.96
POL00060,PH00060,VH00060,Third Party Fire & Theft,2019-06-29,2020-06-28,4103.36,1376.92,False,AGT042,173336.34
POL00061,PH00061,VH00061,Third Party Fire & Theft,2022-11-03,2023-11-03,2200.63,0.0,True,AGT018,395109.27
POL00062,PH00062,VH00062,Comprehensive,2023-01-09,2024-01-09,4236.86,1403.72,False,AGT001,271504.69
POL00063,PH00063,VH00063,Third Party,2020-04-04,2021-04-04,0.0,664.18,False,AGT016,377293.43
POL00064,PH00064,VH00064,Comprehensive,2021-09-17,2022-09-17,2088.26,880.89,False,AGT024,490224.06
POL00065,PH00065,VH00065,Comprehensive,2023-04-16,2024-04-15,4397.69,1686.74,True,AGT037,406608.83
POL00066,PH00066,VH00066,Third Party Fire & Theft,2024-05-24,2025-05-24,0.0,1418.32,False,AGT016,460820.57
POL00067,PH00067,VH00067,Collision,2020-05-29,2021-05-29,468.87,814.12,False,AGT042,36252.66
POL00068,PH00068,VH00068,Third Party Fire & Theft,2023-10-24,2024-10-23,1102.68,1682.82,False,AGT039,294236.33
POL00069,PH00069,VH00069,Comprehensive,2019-12-12,2020-12-11,3383.35,1952.22,False,AGT038,338608.06
POL00070,PH00070,VH00070,Third Party,2019-03-16,2020-03-15,2082.09,842.65,True,AGT039,57376.61
POL00071,PH00071,VH00071,Third Party Fire & Theft,2024-10-02,2025-10-02,2001.35,577.74,False,AGT023,56764.1
POL00072,PH00072,VH00072,Comprehensive,2021-07-24,2022-07-24,890.54,1803.23,False,AGT049,165692.31
POL00073,PH00073,VH00073,Third Party,2022-11-22,2023-11-22,325.34,1652.56,False,AGT036,242616.14
POL00074,PH00074,VH00074,Collision,2022-06-23,2023-06-23,0.0,711.81,False,AGT010,227623.23
POL00075,PH00075,VH00075,Collision,2021-02-02,2022-02-02,0.0,1757.37,True,AGT004,377778.21
POL00076,PH00076,VH00076,Third Party Fire & Theft,2022-04-13,2023-04-13,3938.36,0.0,True,AGT018,410574.22
POL00077,PH00077,VH00077,Collision,2021-11-04,2022-11-04,4487.9,1611.76,False,AGT012,316187.82
POL00078,PH00078,VH00078,Third Party Fire & Theft,2021-11-03,2022-11-03,4885.6,396.34,False,AGT006,320075.08
POL00079,PH00079,VH00079,Comprehensive,2023-01-05,2024-01-05,3096.8,303.77,True,AGT041,306129.6
POL00080,PH00080,VH00080,Collision,2023-06-10,2024-06-09,0.0,802.19,False,AGT014,72469.74
POL00081,PH00081,VH00081,Third Party,2019-05-20,2020-05-19,540.81,1678.31,False,AGT047,294885.26
