vehicle_id,policyholder_id,make,model,year,color,vehicle_value_usd,mileage,fuel_type,vin,is_modified
VH00001,PH00001,Audi,TT,2023,Green,16600.15,24943,Hybrid,EW9JVJ0UKSPJT94HM,True
VH00002,PH00002,BMW,X5,2024,Green,68642.11,97651,Hybrid,WBULEVB3BU49ZGK52,False
VH00003,PH00003,Toyota,Prius,2013,Silver,86344.85,131240,Hybrid,G9EUMZ1JPMSS14YGV,False
VH00004,PH00004,Ford,Explorer,2004,Grey,24918.04,81101,Petrol,TUSHCYZP7THSW2B55,False
VH00005,PH00005,Toyota,RAV4,2020,Blue,31836.09,54867,Diesel,BSYHR78KK09K87TAU,False
VH00006,PH00006,Nissan,Altima,2012,Grey,57639.39,84128,Electric,BTN8D90EJL67UM0YD,False
VH00007,PH00007,Hyundai,Santa Fe,2002,Grey,83560.42,3824,Hybrid,W15LBA0RL364Z94XB,True
VH00008,PH00008,Chevrolet,Malibu,2005,Grey,17756.82,51727,Electric,KNEA1AK15KBPXMRRJ,False
VH00009,PH00009,Nissan,Altima,2001,Yellow,40827.63,152736,Ev,L0M65K94ZUFJ51DB0,False
VH00010,PH00010,Mercedes,GLE,2018,BLACK,19111.01,10024,Petrol,1R96N59U88UHC2V9A,False
VH00011,PH00011,Hyundai,Tucson,2009,BLACK,91527.11,102799,Diesel,MVY8S0LHV1YPZ3VTE,True
VH00012,PH00012,Toyota,Corolla,2002,Silver,61477.54,165166,Petrol,FSNLYWF91FLSGX5YH,True
VH00013,PH00013,Mercedes,GLE,2001,Red,119063.91,41383,Petrol,15W67PB6W3N91B0EU,False
VH00014,PH00014,Hyundai,Tucson,2020,Green,80943.54,82597,Petrol,61FBG7RYWUBUC45J6,True
VH00015,PH00015,Audi,TT,2024,Red,10245.36,126638,Hybrid,TJRM0TTS2XXFW71R3,False
VH00016,PH00016,Ford,Mustang,2003,Orange,67381.62,83711,Electric,NHRGPKU82NNS6DCPV,False
VH00017,PH00017,Tesla,Model X,2005,Blue,20591.08,137761,Electric,J2NWKH3ZCCXTNE543,False
VH00018,PH00018,Honda,CR-V,2020,Grey,106980.26,10654,Petrol,2VDFYCW32564FGFNE,True
VH00019,PH00019,Nissan,Leaf,2022,Green,60679.07,78841,Petrol,M2A6CS54NNTTHHRTY,False
VH00020,PH00020,Chevrolet,Silverado,2001,white,45927.39,145298,Petrol,G3EJ2DAZ6C4LER1HS,False
VH00021,PH00021,Nissan,Sentra,2016,Red,33984.03,23791,Ev,H6GZCNWU57MTGW30T,True
VH00022,PH00022,Tesla,Model X,2007,Green,6407.12,36273,Hybrid,VPS8XK849PR1CRVHV,False
VH00023,PH00023,Chevrolet,Equinox,2004,Blue,80526.66,185331,Petrol,A250BB4TRFZCWMKLM,True
VH00024,PH00024,Honda,CR-V,2020,Black,48586.93,13426,Petrol,BMJ24SHB8VLF0KT6M,True
VH00025,PH00025,Audi,Q7,2016,White,13833.94,74574,Hybrid,9E36EMHBF9J146ULE,False
VH00026,PH00026,Tesla,Cybertruck,2000,Blue,25535.25,55692,Hybrid,3CY5WNCVMCEDPL0AJ,False
VH00027,PH00027,Mercedes,A-Class,2024,Black,111661.7,64380,Petrol,MW3TZKJFA3MCVWEUJ,False
VH00028,PH00028,Audi,A4,2019,BLACK,34703.59,62266,Ev,28AW2ETEBZG3DVCAE,True
VH00029,PH00029,Audi,Q7,2008,White,15160.82,162140,Hybrid,N7XY5TRL881AA7SBV,False
VH00030,PH00030,Nissan,Leaf,2011,Grey,109058.96,103769,Petrol,V1WLJ02AA4W5PKJAC,False
VH00031,PH00031,Toyota,Highlander,2016,Green,79763.42,27930,Petrol,NR446B0NLLCMLYFBH,False
VH00032,PH00032,Hyundai,Elantra,2023,Blue,78414.63,176985,Electric,YEP0WJDF2D1G8LTWX,True
VH00033,PH00033,Honda,Accord,2000,gray,37863.64,0,Petrol,AGCKJLMZ62FT3VKRL,False
VH00034,PH00034,Hyundai,Tucson,2000,BLACK,26742.84,82085,Hybrid,W4RZ32FFYS4TW2WLJ,True
VH00035,PH00035,Chevrolet,Tahoe,2009,white,69846.23,187536,Hybrid,XKFVGV85330XN699X,False
VH00036,PH00036,Mercedes,E-Class,2005,BLACK,32523.15,41084,Diesel,32JZJ993CDG3KEBZF,True
VH00037,PH00037,Hyundai,Sonata,2022,white,22341.27,121807,Hybrid,MH4F4E0759S6EWU7U,True
VH00038,PH00038,Nissan,Altima,2005,White,46162.1,20629,Hybrid,BGWRK6E0RXDFAF7KG,False
VH00039,PH00039,Ford,Focus,2000,Silver,60679.07,68677,Hybrid,P3KYCLPK9A9YGEX0V,False
VH00040,PH00040,Nissan,Pathfinder,2013,Green,81149.44,22870,Ev,LW2FV565J5X408G4U,False
VH00041,PH00041,Tesla,Model 3,2016,Red,64455.93,61815,Hybrid,JKV4LAZ91UMX1T5XY,False
VH00042,PH00042,Honda,Civic,2006,Black,42239.59,148245,Ev,KSGKCD4ZBTR7X08SF,False
VH00043,PH00043,Ford,Mustang,2016,BLACK,109997.89,194599,Hybrid,KM25JLLM5RF755E0D,True
VH00044,PH00044,Chevrolet,Silverado,2009,Grey,60679.07,157132,Hybrid,K6K80P2NHWV1CSB03,True
VH00045,PH00045,Honda,Fit,2024,BLACK,10590.16,26758,Petrol,F4W1XXAXLRYZNATA5,True
VH00046,PH00046,Audi,A6,2002,gray,36146.34,193618,Diesel,ZWAT1SDHVBN0WMT7U,False
VH00047,PH00047,Tesla,Model S,2018,Black,31885.93,163203,Petrol,1MB6M7RB9BS55L3N7,False
VH00048,PH00048,BMW,5 Series,2019,White,57387.74,118541,Hybrid,W0XLUYYCHRGC761SH,False
VH00049,PH00049,Tesla,Model 3,2012,Black,118289.4,188845,Diesel,ZLENTVSTDXPER9WHN,False
VH00050,PH00050,Chevrolet,Malibu,2022,Grey,89093.25,188189,Diesel,RWT8D3R8T4T5HRENJ,False
VH00051,PH00051,Chevrolet,Equinox,2019,Green,4487.44,986253,Diesel,7P9GCEPVMTGEEYKBD,False
VH00052,PH00052,Nissan,Rogue,2023,BLACK,88821.56,0,Petrol,KCYY5FP514SPFTPVC,False
VH00053,PH00053,Audi,Q7,2000,Yellow,56513.38,114726,Diesel,J1JN54V8EL800G2EK,False
VH00054,PH00054,Ford,Mustang,2011,White,71390.38,173365,Electric,N0M1RYRF38D656NHF,False
VH00055,PH00055,Mercedes,GLE,2023,gray,3574.02,0,Hybrid,1LJK2RU7C21BXSF2C,False
VH00056,PH00056,Toyota,Highlander,2011,Yellow,118655.65,121709,Ev,LFLH3LW16PNXHTFL9,True
VH00057,PH00057,Toyota,Prius,2016,white,26459.68,11289,Hybrid,D85VHN409BULHRLGZ,True
VH00058,PH00058,BMW,3 Series,2003,white,100240.53,140240,Petrol,VXCETWFZZFPFFFYRB,False
VH00059,PH00059,Nissan,Sentra,2003,Grey,35767.75,128356,Electric,CBDZ5LFEYCX778FCX,True
VH00060,PH00060,Nissan,Altima,2015,gray,15395.02,119433,Diesel,EAVY5MC6VAS4JSL31,False
VH00061,PH00061,Audi,Q5,2013,White,30854.82,19628,Electric,GV0LMEE32BZ33TYK7,False
VH00062,PH00062,Chevrolet,Tahoe,2022,White,101860.39,70007,Diesel,BS5FZ5PKJ7UXH48C0,False
VH00063,PH00063,Chevrolet,Malibu,2022,BLACK,6446.56,132841,Hybrid,T943T7H6T5CR0KVVN,False
VH00064,PH00064,Audi,Q5,2000,Yellow,107752.57,0,Diesel,186L8U6H9C56NH0LE,False
VH00065,PH00065,Toyota,RAV4,2004,Blue,41822.96,164466,Diesel,9W4DJLAKG3V3J3C57,False
