payment_id,policy_id,payment_date,amount_usd,payment_method,status,is_late,late_fee_usd
PAY00001,POL01701,2023-02-27,2307.58,Direct Debit,Overdue,No,0.0
PAY00002,POL01426,08-19-2020,815.17,Cash,Overdue,No,0.0
PAY00003,POL00728,2019-10-14,1303.79,Cheque,Pending,No,0.0
PAY00004,POL00543,03-22-2020,1850.91,Bank Transfer,Paid,No,0.0
PAY00005,POL02276,2024-06-15,4812.72,Cheque,PAID,No,50.26
PAY00006,POL02501,2021-03-27,$1658.75,Credit Card,Pending,No,83.11
PAY00007,POL02727,2020-12-09,1363.87,Bank Transfer,SUCCESS,No,0.0
PAY00008,POL00692,27/04/2021,$2911.0,Cheque,paid,No,0.0
PAY00009,POL02216,09 Apr 2021,3630.31,Cash,SUCCESS,No,0.0
PAY00010,POL01188,30 Dec 2022,1780.66,Direct Debit,Failed,No,0.0
PAY00011,POL01350,08-31-2019,3232.32,Direct Debit,success,No,37.95
PAY00012,POL00433,06 Aug 2019,1050.77,Cheque,paid,No,0.0
PAY00013,POL02851,14 Jul 2023,133.07,Cash,success,No,47.88
PAY00014,POL02486,21/12/2020,3789.36,Credit Card,paid,No,40.38
PAY00015,POL02403,10 Aug 2021,2689.32,Bank Transfer,overdue,Yes,13.05
PAY00016,POL00295,21 Dec 2021,1435.74,Credit Card,failed,No,0.0
PAY00017,POL02916,22 Oct 2022,1564.24,Bank Transfer,success,No,0.0
PAY00018,POL00113,18 Apr 2022,1721.64,Cash,Paid,No,0.0
PAY00019,POL02953,05-11-2022,111.0,Bank Transfer,Overdue,No,0.0
PAY00020,POL02161,21/11/2021,4848.94,Cash,overdue,No,0.0
PAY00021,POL00958,2022-03-03,3052.94,Bank Transfer,paid,Yes,0.0
PAY00022,POL00281,19/08/2020,$3148.77,Bank Transfer,paid,No,56.13
PAY00023,POL02377,15 Jan 2022,3169.3,Credit Card,Paid,No,0.0
PAY00024,POL00142,17/01/2019,1175.27,Direct Debit,Failed,No,0.0
PAY00025,POL01135,2020-03-15,4621.85,Cash,success,Yes,0.0
PAY00026,POL00070,11 Aug 2022,2298.63,Credit Card,success,No,0.0
PAY00027,POL00379,26 May 2021,1688.58,Bank Transfer,failed,No,0.0
PAY00028,POL02367,10 Jan 2022,3715.53,Bank Transfer,Failed,No,0.0
PAY00029,POL01474,2019-07-20,3885.3,Cash,overdue,No,0.0
PAY00030,POL00715,14/12/2022,$2150.43,Cash,Failed,No,0.0
PAY00031,POL00641,30 Oct 2020,590.4,Direct Debit,overdue,No,0.0
PAY00032,POL02391,21 Sep 2023,2023.08,Bank Transfer,Overdue,No,0.0
PAY00033,POL01890,07-13-2019,$281.8,Cash,success,No,0.0
PAY00034,POL02817,01/10/2021,3327.8,Bank Transfer,failed,No,0.0
PAY00035,POL02513,2022-10-25,1710.26,Direct Debit,PAID,No,0.0
PAY00036,POL02183,12-17-2019,743.46,Cash,Overdue,No,0.0
PAY00037,POL01759,03-02-2021,1972.8,Direct Debit,Paid,No,86.49
PAY00038,POL02649,2021-07-09,1304.69,Bank Transfer,failed,No,82.52
PAY00039,POL00802,21/05/2019,4753.17,Direct Debit,Paid,Yes,0.0
PAY00040,POL01942,2019-04-10,3891.11,Credit Card,PAID,Yes,0.0
PAY00041,POL00727,22/12/2024,$1488.52,Cheque,overdue,No,0.0
PAY00042,POL02528,15/12/2023,1634.86,Credit Card,PAID,No,0.0
PAY00043,POL01284,27/04/2022,3006.26,Bank Transfer,failed,No,0.0
PAY00044,POL01364,06-13-2019,2920.2,Cheque,Overdue,No,0.0
PAY00045,POL01923,06-12-2023,$354.33,Credit Card,overdue,No,0.0
PAY00046,POL00763,06 Aug 2023,2443.67,Cash,paid,No,49.84
PAY00047,POL01179,25 Mar 2023,2565.6,Cash,Paid,No,0.0
PAY00048,POL01252,20 Mar 2019,$566.11,Bank Transfer,Overdue,No,0.0
PAY00049,POL02149,16/05/2023,$2555.44,Direct Debit,paid,No,0.0
PAY00050,POL02187,2022-08-15,1804.13,Bank Transfer,paid,No,0.0
PAY00051,POL02096,08 Jun 2022,3093.87,Bank Transfer,SUCCESS,Yes,0.0
PAY00052,POL00818,2024-03-04,$1899.33,Cash,PAID,No,0.0
PAY00053,POL00351,03-11-2023,$4733.35,Direct Debit,PAID,No,0.0
PAY00054,POL02136,01-05-2024,721.04,Bank Transfer,success,No,0.0
PAY00055,POL02045,2022-07-17,3022.65,Cheque,failed,No,0.0
PAY00056,POL01532,09/01/2024,1952.95,Credit Card,Overdue,No,0.0
PAY00057,POL01167,2021-06-24,3422.26,Bank Transfer,SUCCESS,No,0.0
PAY00058,POL00057,07 Sep 2019,1471.66,Cash,Paid,No,0.0
PAY00059,POL00132,06-14-2021,3718.0,Credit Card,Overdue,No,0.0
PAY00060,POL01748,29 May 2022,2079.84,Direct Debit,paid,No,0.0
PAY00061,POL02497,12/06/2021,3087.22,Cheque,failed,Yes,91.12
PAY00062,POL02131,03-29-2024,2655.11,Bank Transfer,paid,No,0.0
PAY00063,POL02385,08-14-2021,$3701.24,Bank Transfer,success,No,0.0
PAY00064,POL02037,2023-07-10,854.62,Direct Debit,overdue,No,0.0
PAY00065,POL02356,20/07/2020,4901.59,Cash,failed,No,0.0
PAY00066,POL01227,31/12/2023,2021.98,Credit Card,failed,No,0.0
PAY00067,POL02829,2019-05-13,$4419.58,Direct Debit,failed,No,57.52
PAY00068,POL00540,2020-08-16,423.97,Bank Transfer,Pending,Yes,71.55
PAY00069,POL02792,04-02-2023,$818.37,Cheque,success,No,0.0
PAY00070,POL01066,10 Jan 2021,3293.86,Direct Debit,success,No,0.0
