policy_id,policyholder_id,vehicle_id,coverage_type,start_date,end_date,premium_usd,deductible_usd,is_active,agent_id,coverage_amount_usd
POL00001,PH00001,VH00001,Comprehensive,25/01/2021,25/01/2022,$4572.92,1811.01,TRUE,AGT004,216421.37
POL00002,PH00002,VH00002,Collision,2020-03-30,30 Mar 2021,4528.99,,FALSE,AGT029,49587.73
POL00003,PH00003,VH00003,Third Party,30 Sep 2022,30 Sep 2023,4558.01,1744.36,Y,AGT039,343868.35
POL00004,PH00004,VH00004,third party,03-11-2022,03-11-2023,1270.91,1513.08,FALSE,AGT017,181156.77
POL00005,PH00005,VH00005,Third Party,25/12/2019,12-24-2020,2730.83,707.28,yes,AGT044,99863.46
POL00006,PH00006,VH00006,Third Party,24 Apr 2020,24 Apr 2021,2382.46,1708.91,False,AGT008,171781.08
POL00007,PH00007,VH00007,Comprehensive,11-22-2024,22 Nov 2025,2650.52,,yes,AGT039,436112.66
POL00008,PH00008,VH00008,Comprehensive,04-26-2020,2021-04-26,851.62,,True,AGT020,20104.85
POL00009,PH00009,VH00009,Comprehensive,29 Nov 2020,29/11/2021,$636.22,1443.6,Y,AGT010,341836.73
POL00010,PH00010,VH00010,Comprehensive,17/06/2021,2022-06-17,3358.49,1845.31,yes,AGT041,306964.99
POL00011,PH00011,VH00011,Third Party,18 Dec 2023,2024-12-17,1122.43,,Yes,AGT045,87930.05
POL00012,PH00012,VH00012,Comprehensive,24 Dec 2019,23 Dec 2020,$3964.37,1626.95,no,AGT045,478962.89
POL00013,PH00013,VH00013,Collision,2024-02-21,02-20-2025,$3509.95,323.8,Yes,AGT021,82852.55
POL00014,PH00014,VH00014,Third Party Fire & Theft,2023-07-20,07-19-2024,3626.66,1334.43,N,AGT009,47049.1
POL00015,PH00015,VH00015,Collision,08 Aug 2021,08/08/2022,$2995.06,296.4,no,AGT022,218401.0
POL00016,PH00016,VH00016,Third Party Fire & Theft,02 Mar 2019,01/03/2020,$4140.02,1049.56,FALSE,AGT046,229766.78
POL00017,PH00017,VH00017,Comprehensive,12-13-2019,2020-12-12,3841.25,1030.83,True,AGT021,419478.63
