vehicle_id,policyholder_id,make,model,year,color,vehicle_value_usd,mileage,fuel_type,vin,is_modified
VH00001,PH00001,Audi,TT,2023,Green,16600.15,24943.0,Hybrid,EW9JVJ0UKSPJT94HM,TRUE
VH00002,PH00002,BMW,X5,2024,Green,"$68,642.11",97651.0,hybrid,WBULEVB3BU49ZGK52,False
VH00003,PH00003,Toyota,Prius,2013,Silver,"$86,344.85",131240.0,hybrid,G9EUMZ1JPMSS14YGV,True
VH00004,PH00004,Ford,Explorer,2004,Grey,24918.04,81101.0,Petrol,TUSHCYZP7THSW2B55,yes
VH00005,PH00005,Toyota,RAV4,2020,Blue,"$31,836.09",54867.0,Diesel,BSYHR78KK09K87TAU,No
VH00006,PH00006,Nissan,Altima,2012,Grey,57639.39,84128.0,Electric,BTN8D90EJL67UM0YD,False
VH00007,PH00007,Hyundai,Santa Fe,2002,Grey,"$83,560.42",3824.0,Hybrid,W15LBA0RL364Z94XB,Y
VH00008,PH00008,Chevrolet,Malibu,2005,Grey,"$17,756.82",51727.0,Electric,KNEA1AK15KBPXMRRJ,No
VH00009,PH00009,Nissan,Altima,2001,Yellow,40827.63,152736.0,EV,L0M65K94ZUFJ51DB0,FALSE
VH00010,PH00010,Mercedes,GLE,2018,BLACK,"$19,111.01",10024.0,Petrol,1R96N59U88UHC2V9A,False
VH00011,PH00011,Hyundai,Tucson,2009,BLACK,91527.11,102799.0,Diesel,MVY8S0LHV1YPZ3VTE,Yes
VH00012,PH00012,Toyota,Corolla,2002,Silver,"$61,477.54",165166.0,petrol,FSNLYWF91FLSGX5YH,Y
VH00013,PH00013,Mercedes,GLE,2001,Red,"$119,063.91",41383.0,Petrol,15W67PB6W3N91B0EU,N
VH00014,PH00014,Hyundai,Tucson,2020,Green,"$80,943.54",82597.0,Petrol,61FBG7RYWUBUC45J6,Y
VH00015,PH00015,Audi,TT,2024,Red,10245.36,126638.0,hybrid,TJRM0TTS2XXFW71R3,False
VH00016,PH00016,Ford,Mustang,2003,Orange,"$67,381.62",83711.0,Electric,NHRGPKU82NNS6DCPV,0
VH00017,PH00017,Tesla,Model X,2005,Blue,"$20,591.08",137761.0,Electric,J2NWKH3ZCCXTNE543,False
VH00018,PH00018,Honda,CR-V,2020,Grey,"$106,980.26",10654.0,petrol,2VDFYCW32564FGFNE,TRUE
VH00019,PH00019,Nissan,Leaf,2022,Green,,78841.0,petrol,M2A6CS54NNTTHHRTY,False
VH00020,PH00020,Chevrolet,Silverado,2001,white,"$45,927.39",145298.0,petrol,G3EJ2DAZ6C4LER1HS,True
VH00021,PH00021,Nissan,Sentra,2016,Red,33984.03,23791.0,EV,H6GZCNWU57MTGW30T,TRUE
VH00022,PH00022,Tesla,Model X,2007,Green,"$6,407.12",36273.0,hybrid,VPS8XK849PR1CRVHV,FALSE
VH00023,PH00023,Chevrolet,Equinox,2004,Blue,80526.66,185331.0,petrol,A250BB4TRFZCWMKLM,Y
VH00024,PH00024,Honda,CR-V,2020,Black,48586.93,13426.0,Petrol,BMJ24SHB8VLF0KT6M,TRUE
VH00025,PH00025,Audi,Q7,2016,White,"$13,833.94",74574.0,Hybrid,9E36EMHBF9J146ULE,False
VH00026,PH00026,Tesla,Cybertruck,2000,Blue,25535.25,55692.0,hybrid,3CY5WNCVMCEDPL0AJ,no
VH00027,PH00027,Mercedes,A-Class,2024,Black,"$111,661.70",64380.0,Petrol,MW3TZKJFA3MCVWEUJ,no
VH00028,PH00028,Audi,A4,2019,BLACK,34703.59,62266.0,EV,28AW2ETEBZG3DVCAE,1
VH00029,PH00029,Audi,Q7,2008,White,15160.82,162140.0,Hybrid,N7XY5TRL881AA7SBV,0
VH00030,PH00030,Nissan,Leaf,2011,Grey,"$109,058.96",103769.0,petrol,V1WLJ02AA4W5PKJAC,0
VH00031,PH00031,Toyota,Highlander,2016,Green,79763.42,27930.0,petrol,NR446B0NLLCMLYFBH,yes
VH00032,PH00032,Hyundai,Elantra,2023,Blue,78414.63,176985.0,Electric,YEP0WJDF2D1G8LTWX,Y
VH00033,PH00033,Honda,Accord,2000,gray,"$37,863.64",,petrol,AGCKJLMZ62FT3VKRL,no
VH00034,PH00034,Hyundai,Tucson,2000,BLACK,26742.84,82085.0,hybrid,W4RZ32FFYS4TW2WLJ,1
VH00035,PH00035,Chevrolet,Tahoe,2009,white,"$69,846.23",187536.0,Hybrid,XKFVGV85330XN699X,No
VH00036,PH00036,Mercedes,E-Class,2005,BLACK,"$32,523.15",41084.0,Diesel,32JZJ993CDG3KEBZF,1
VH00037,PH00037,Hyundai,Sonata,2022,white,"$22,341.27",121807.0,hybrid,MH4F4E0759S6EWU7U,Y
VH00038,PH00038,Nissan,Altima,2005,White,46162.1,20629.0,hybrid,BGWRK6E0RXDFAF7KG,No
VH00039,PH00039,Ford,Focus,2000,Silver,,68677.0,Hybrid,P3KYCLPK9A9YGEX0V,yes
VH00040,PH00040,Nissan,Pathfinder,2013,Green,"$81,149.44",22870.0,EV,LW2FV565J5X408G4U,FALSE
VH00041,PH00041,Tesla,Model 3,2016,Red,"$64,455.93",61815.0,Hybrid,JKV4LAZ91UMX1T5XY,No
